Product,Name,Rating,CommentHead,CommentHpPavillion,Flipkart Customer,5,Excellent,"Most stunning build quality, super performance, optimal battery, anyway I will edit my review after using 1 month. by the way HP worked very well on overall performance. if you are looking for a laptop for programming, study, basic gaming. you should go for it."
HpPavillion,Sreenivas A,1,Unsatisfactory,"Overheating issues. This laptop gets heated within 10 mins of usage, even when you are just browsing internet, and battery is also not meeting the expectations. You feel like battery has full charge, and all of a sudden it goes down by 10%. I feel as if I am using an old outdated laptop. Not at all comfortable with this overheating. Trust me, even my 10 years old Dell laptop was not overheating like this.Performance and specifications are excellent."
HpPavillion,Abhinav Sharma,4,Delightful,Everything is working fine except bluetooth . Whenever i connect my bluetooth earphones and watch videos there is crackling and popping sound . I have used my earphones with my mobile phone and old pc and they work just fine. The issue must be in this new laptop. I have tried everything on software part but i did not find any solution. Rest i am satisfied with this laptop.
HpPavillion,Rahul  Jain,5,Terrific,"This was the best laptop with 11th Gen i5 processor and 16GB RAM I could find in my budget. The performance is flawless, the battery life is good too. There are 2 minor issues - The display is not very bright and the touchpad is not very responsive, else it is a great package."
HpPavillion,Sai Vamshi,5,Terrific,Awesome product with lightning speed and great specs. Worth the money spent on the specs. Great value. Must buy
HpPavillion,Flipkart Customer,5,Super!,"Nice laptop.. battery backup is up to 7-8 hours, ssd performance is also good and screen brightness is good ,sound quality is average in it."
HpPavillion,Flipkart Customer,5,Awesome,Specs are amazing. Worth every penny.Amazing sleek design and lightweight yet powerful.Battery backup is up to 6 hrs easily.Backlit keyboard is so gentle and key press is crisp.Display is excellent. Overall performance is awesome .This machine is a beast.Students in IT/CS should definitely go for it.For working people it is high recommended.
HpPavillion,RAJAN  SINGH,5,Just wow!,"best in this price 59k, superfast"
HpPavillion,Swapneshwar Gouda,5,Best in the market!,Nice
HpPavillion,Flipkart Customer,5,Worth every penny,Awesome compact laptop for study's & business purpose .must go for it.Love this😍
HpPavillion,No Name,No Rating,No Comment Heading,No Comment
